"year","geography","drug_type","geography_type","span","count","population","age_adj_rate","lower_age_adj","upper_age_adj","crude_rate","lower_crude_rate","upper_crude_rate","rse","rse_25","last_updated"
"2000","Adams","any_drug","county","1","1","16433","7.1","0.2","41.4","6.1","1.1","34.5","99.50372%","1","final"
"2000","Asotin","any_drug","county","1","1","20552","4.9","0.1","29.8","4.9","0.9","27.6","99.50372%","1","final"
"2000","Benton","any_drug","county","1","9","142473","6.3","2.9","12.5","6.3","3.3","12","33.31483%","1","final"
"2000","Chelan","any_drug","county","1","5","66615","7.1","2.3","17.2","7.5","3.2","17.6","44.67671%","1","final"
"2000","Clallam","any_drug","county","1","6","64187","10.7","3.8","24.4","9.3","4.3","20.4","40.79085%","1","final"
"2000","Clark","any_drug","county","1","36","345234","10.1","7.1","14.2","10.4","7.5","14.4","16.66435%","0","final"
"2000","Columbia","any_drug","county","1","0","4064","0","","169.9","0","0","94.4","1 000.00000%","1","final"
"2000","Cowlitz","any_drug","county","1","13","92949","14.6","7.7","25.1","14","8.2","23.9","27.72435%","1","final"
"2000","Douglas","any_drug","county","1","2","32600","6.4","0.8","24.1","6.1","1.7","22.4","70.53456%","1","final"
"2000","Ferry","any_drug","county","1","0","7257","0","","82.9","0","0","52.9","1 000.00000%","1","final"
"2000","Franklin","any_drug","county","1","4","49351","8.9","2.4","26.9","8.1","3.2","20.8","49.93762%","1","final"
"2000","Garfield","any_drug","county","1","0","2397","0","","266","0","0","160","1 000.00000%","1","final"
"2000","Grant","any_drug","county","1","5","74695","7.6","2.5","18.2","6.7","2.9","15.7","44.67671%","1","final"
"2000","Grays Harbor","any_drug","county","1","6","67190","9.3","3.4","20.8","8.9","4.1","19.5","40.79085%","1","final"
"2000","Island","any_drug","county","1","2","71564","2.9","0.3","10.9","2.8","0.8","10.2","70.53456%","1","final"
"2000","Jefferson","any_drug","county","1","0","26295","0","","25.4","0","0","14.6","1 000.00000%","1","final"
"2000","King","any_drug","county","1","189","1737047","10.1","8.7","11.7","10.9","9.4","12.5","7.27374%","0","final"
"2000","Kitsap","any_drug","county","1","20","231967","8.3","5.1","13","8.6","5.6","13.3","22.35509%","0","final"
"2000","Kittitas","any_drug","county","1","1","33361","3.7","0.1","21.8","3","0.5","17","99.50372%","1","final"
"2000","Klickitat","any_drug","county","1","0","19163","0","","25.3","0","0","20","1 000.00000%","1","final"
"2000","Lewis","any_drug","county","1","11","68599","16.1","8","29.6","16","9","28.7","30.13744%","1","final"
"2000","Lincoln","any_drug","county","1","0","10181","0","","56.6","0","0","37.7","1 000.00000%","1","final"
"2000","Mason","any_drug","county","1","2","49403","3.7","0.5","15.5","4","1.1","14.8","70.53456%","1","final"
"2000","Okanogan","any_drug","county","1","1","39561","2.1","0.1","14.9","2.5","0.4","14.3","99.50372%","1","final"
"2000","Pacific","any_drug","county","1","4","20987","19.2","4.8","57.1","19.1","7.4","49","49.93762%","1","final"
"2000","Pend Oreille","any_drug","county","1","0","11731","0","","52.2","0","0","32.7","1 000.00000%","1","final"
"2000","Pierce","any_drug","county","1","89","700821","12.6","10.1","15.6","12.7","10.3","15.6","10.59938%","0","final"
"2000","San Juan","any_drug","county","1","1","14072","4.7","0.1","62.7","7.1","1.3","40.2","99.50372%","1","final"
"2000","Skagit","any_drug","county","1","11","102981","10.9","5.4","19.7","10.7","6","19.1","30.13744%","1","final"
"2000","Skamania","any_drug","county","1","0","9873","0","","52","0","0","38.9","1 000.00000%","1","final"
"2000","Snohomish","any_drug","county","1","60","606020","9.3","7.1","12.1","9.9","7.7","12.7","12.90887%","0","final"
"2000","Spokane","any_drug","county","1","39","417937","9.3","6.6","12.8","9.3","6.8","12.8","16.01076%","0","final"
"2000","Stevens","any_drug","county","1","1","40062","2.6","0.1","17.6","2.5","0.4","14.1","99.50372%","1","final"
"2000","Thurston","any_drug","county","1","10","207351","4.7","2.3","8.9","4.8","2.6","8.9","31.60698%","1","final"
"2000","Wahkiakum","any_drug","county","1","0","3823","0","","155.8","0","0","100.4","1 000.00000%","1","final"
"2000","Walla Walla","any_drug","county","1","1","55177","2.1","0.1","11.9","1.8","0.3","10.3","99.50372%","1","final"
"2000","Whatcom","any_drug","county","1","12","166826","7.6","3.9","13.4","7.2","4.1","12.6","28.85549%","1","final"
"2000","Whitman","any_drug","county","1","0","40738","0","","13.6","0","0","9.4","1 000.00000%","1","final"
"2000","Yakima","any_drug","county","1","17","222579","8.5","5","13.7","7.6","4.8","12.2","24.24643%","0","final"
"2000","Adams","any_opioid","county","1","1","16433","7.1","0.2","41.4","6.1","1.1","34.5","99.50372%","1","final"
"2000","Asotin","any_opioid","county","1","0","20552","0","","21.5","0","0","18.7","1 000.00000%","1","final"
"2000","Benton","any_opioid","county","1","3","142473","2.1","0.4","6.8","2.1","0.7","6.2","57.63904%","1","final"
"2000","Chelan","any_opioid","county","1","1","66615","1.6","0","9.2","1.5","0.3","8.5","99.50372%","1","final"
"2000","Clallam","any_opioid","county","1","5","64187","9.3","3","22.7","7.8","3.3","18.2","44.67671%","1","final"
"2000","Clark","any_opioid","county","1","25","345234","7","4.6","10.6","7.2","4.9","10.7","19.99600%","0","final"
"2000","Columbia","any_opioid","county","1","0","4064","0","","169.9","0","0","94.4","1 000.00000%","1","final"
"2000","Cowlitz","any_opioid","county","1","7","92949","7.9","3.2","16.4","7.5","3.6","15.5","37.76948%","1","final"
"2000","Douglas","any_opioid","county","1","1","32600","3.2","0.1","18.9","3.1","0.5","17.4","99.50372%","1","final"
"2000","Ferry","any_opioid","county","1","0","7257","0","","82.9","0","0","52.9","1 000.00000%","1","final"
"2000","Franklin","any_opioid","county","1","1","49351","2.4","0.1","17.9","2","0.4","11.5","99.50372%","1","final"
"2000","Garfield","any_opioid","county","1","0","2397","0","","266","0","0","160","1 000.00000%","1","final"
"2000","Grant","any_opioid","county","1","5","74695","7.6","2.5","18.2","6.7","2.9","15.7","44.67671%","1","final"
"2000","Grays Harbor","any_opioid","county","1","1","67190","1.6","0","9.6","1.5","0.3","8.4","99.50372%","1","final"
"2000","Island","any_opioid","county","1","2","71564","2.9","0.3","10.9","2.8","0.8","10.2","70.53456%","1","final"
"2000","Jefferson","any_opioid","county","1","0","26295","0","","25.4","0","0","14.6","1 000.00000%","1","final"
"2000","King","any_opioid","county","1","122","1737047","6.5","5.4","7.8","7","5.9","8.4","9.05320%","0","final"
"2000","Kitsap","any_opioid","county","1","12","231967","5.2","2.7","9.2","5.2","3","9","28.85549%","1","final"
"2000","Kittitas","any_opioid","county","1","1","33361","3.7","0.1","21.8","3","0.5","17","99.50372%","1","final"
"2000","Klickitat","any_opioid","county","1","0","19163","0","","25.3","0","0","20","1 000.00000%","1","final"
"2000","Lewis","any_opioid","county","1","6","68599","8.8","3.2","20","8.7","4","19.1","40.79085%","1","final"
"2000","Lincoln","any_opioid","county","1","0","10181","0","","56.6","0","0","37.7","1 000.00000%","1","final"
"2000","Mason","any_opioid","county","1","0","49403","0","","9.7","0","0","7.8","1 000.00000%","1","final"
"2000","Okanogan","any_opioid","county","1","0","39561","0","","11.6","0","0","9.7","1 000.00000%","1","final"
"2000","Pacific","any_opioid","county","1","1","20987","4.3","0.1","34.7","4.8","0.8","27","99.50372%","1","final"
"2000","Pend Oreille","any_opioid","county","1","0","11731","0","","52.2","0","0","32.7","1 000.00000%","1","final"
"2000","Pierce","any_opioid","county","1","55","700821","7.8","5.9","10.2","7.8","6","10.2","13.48277%","0","final"
"2000","San Juan","any_opioid","county","1","1","14072","4.7","0.1","62.7","7.1","1.3","40.2","99.50372%","1","final"
"2000","Skagit","any_opioid","county","1","6","102981","6","2.2","13.3","5.8","2.7","12.7","40.79085%","1","final"
"2000","Skamania","any_opioid","county","1","0","9873","0","","52","0","0","38.9","1 000.00000%","1","final"
"2000","Snohomish","any_opioid","county","1","43","606020","6.7","4.8","9.1","7.1","5.3","9.6","15.24808%","0","final"
"2000","Spokane","any_opioid","county","1","28","417937","6.7","4.5","9.8","6.7","4.6","9.7","18.89485%","0","final"
"2000","Stevens","any_opioid","county","1","1","40062","2.6","0.1","17.6","2.5","0.4","14.1","99.50372%","1","final"
